ID,Parameter_ID,Name,Description
UT001-1,UT001,1,yes
UT001-0,UT001,0,no
UT002-1,UT002,1,yes
UT002-0,UT002,0,no
UT003-1,UT003,1,yes
UT003-0,UT003,0,no
UT004-1,UT004,1,yes
UT004-0,UT004,0,no
UT005-1,UT005,1,yes
UT005-0,UT005,0,no
UT006-1,UT006,1,yes
UT006-0,UT006,0,no
UT007-1,UT007,1,yes
UT007-0,UT007,0,no
UT008-1,UT008,1,yes
UT008-0,UT008,0,no
UT009-1,UT009,1,yes
UT009-0,UT009,0,no
UT010-1,UT010,1,yes
UT010-0,UT010,0,no
UT011-1,UT011,1,yes
UT011-0,UT011,0,no
UT012-1,UT012,1,yes
UT012-0,UT012,0,no
UT013-1,UT013,1,yes
UT013-0,UT013,0,no
UT014-1,UT014,1,yes
UT014-0,UT014,0,no
UT015-1,UT015,1,yes
UT015-0,UT015,0,no
UT016-1,UT016,1,yes
UT016-0,UT016,0,no
UT017-1,UT017,1,yes
UT017-0,UT017,0,no
UT018-1,UT018,1,yes
UT018-0,UT018,0,no
UT019-1,UT019,1,yes
UT019-0,UT019,0,no
UT020-1,UT020,1,yes
UT020-0,UT020,0,no
UT021-1,UT021,1,yes
UT021-0,UT021,0,no
UT022-1,UT022,1,yes
UT022-0,UT022,0,no
UT023-1,UT023,1,yes
UT023-0,UT023,0,no
UT024-1,UT024,1,yes
UT024-0,UT024,0,no
UT025-1,UT025,1,yes
UT025-0,UT025,0,no
UT026-1,UT026,1,yes
UT026-0,UT026,0,no
UT027-1,UT027,1,yes
UT027-0,UT027,0,no
UT028-1,UT028,1,yes
UT028-0,UT028,0,no
UT029-1,UT029,1,yes
UT029-0,UT029,0,no
UT030-1,UT030,1,yes
UT030-0,UT030,0,no
UT031-1,UT031,1,yes
UT031-0,UT031,0,no
UT032-1,UT032,1,yes
UT032-0,UT032,0,no
UT033-1,UT033,1,yes
UT033-0,UT033,0,no
UT034-1,UT034,1,yes
UT034-0,UT034,0,no
UT035-1,UT035,1,yes
UT035-0,UT035,0,no
UT036-1,UT036,1,yes
UT036-0,UT036,0,no
UT037-1,UT037,1,yes
UT037-0,UT037,0,no
UT038-1,UT038,1,yes
UT038-0,UT038,0,no
UT039-1,UT039,1,yes
UT039-0,UT039,0,no
UT040-1,UT040,1,yes
UT040-0,UT040,0,no
UT042-1,UT042,1,yes
UT042-0,UT042,0,no
UT043-1,UT043,1,yes
UT043-0,UT043,0,no
UT044-1,UT044,1,yes
UT044-0,UT044,0,no
UT045-1,UT045,1,yes
UT045-0,UT045,0,no
UT046-1,UT046,1,yes
UT046-0,UT046,0,no
UT047-1,UT047,1,yes
UT047-0,UT047,0,no
UT048-1,UT048,1,yes
UT048-0,UT048,0,no
UT049-1,UT049,1,yes
UT049-0,UT049,0,no
UT050-1,UT050,1,yes
UT050-0,UT050,0,no
UT051-1,UT051,1,yes
UT051-0,UT051,0,no
UT052-1,UT052,1,yes
UT052-0,UT052,0,no
UT053-1,UT053,1,yes
UT053-0,UT053,0,no
UT054-1,UT054,1,yes
UT054-0,UT054,0,no
UT055-1,UT055,1,yes
UT055-0,UT055,0,no
UT056-1,UT056,1,yes
UT056-0,UT056,0,no
UT057-1,UT057,1,yes
UT057-0,UT057,0,no
UT058-1,UT058,1,yes
UT058-0,UT058,0,no
UT059-1,UT059,1,yes
UT059-0,UT059,0,no
UT060-1,UT060,1,yes
UT060-0,UT060,0,no
UT061-1,UT061,1,yes
UT061-0,UT061,0,no
UT062-1,UT062,1,yes
UT062-0,UT062,0,no
UT063-1,UT063,1,yes
UT063-0,UT063,0,no
UT064-1,UT064,1,yes
UT064-0,UT064,0,no
UT065-1,UT065,1,yes
UT065-0,UT065,0,no
UT066-1,UT066,1,yes
UT066-0,UT066,0,no
UT067-1,UT067,1,yes
UT067-0,UT067,0,no
UT068-1,UT068,1,yes
UT068-0,UT068,0,no
UT069-1,UT069,1,yes
UT069-0,UT069,0,no
UT070-1,UT070,1,yes
UT070-0,UT070,0,no
UT071-1,UT071,1,yes
UT071-0,UT071,0,no
UT072-1,UT072,1,yes
